 Output    88 cells
 ================================================
 lev      x           d          u          P        rho       f
  7  4.17969E-01  9.961E-01  1.307E-01  9.946E-01  9.970E-01  5.268E+00
  7  4.25781E-01  9.961E-01  1.331E-01  9.946E-01  9.970E-01  5.367E+00
  7  4.33594E-01  9.961E-01  1.356E-01  9.945E-01  9.970E-01  5.465E+00
  7  4.41406E-01  9.962E-01  1.381E-01  9.944E-01  9.970E-01  5.564E+00
  7  4.49219E-01  9.982E-01  1.407E-01  9.943E-01  9.979E-01  5.662E+00
  7  4.57031E-01  1.019E+00  1.427E-01  9.950E-01  1.012E+00  5.761E+00
  7  4.64844E-01  1.148E+00  1.433E-01  9.972E-01  1.119E+00  5.857E+00
  7  4.72656E-01  1.773E+00  1.417E-01  1.003E+00  1.696E+00  5.936E+00
  7  4.80469E-01  4.541E+00  1.348E-01  1.019E+00  4.388E+00  5.935E+00
  7  4.88281E-01  1.740E+01  1.129E-01  1.082E+00  1.731E+01  5.268E+00
  7  4.96094E-01  4.434E+01  5.283E-02  1.235E+00  4.465E+01  2.317E+00
  7  5.03906E-01  4.434E+01 -5.283E-02  1.235E+00  4.465E+01 -2.317E+00
  7  5.11719E-01  1.740E+01 -1.129E-01  1.082E+00  1.731E+01 -5.268E+00
  7  5.19531E-01  4.541E+00 -1.348E-01  1.019E+00  4.388E+00 -5.935E+00
  7  5.27344E-01  1.773E+00 -1.417E-01  1.003E+00  1.696E+00 -5.936E+00
  7  5.35156E-01  1.148E+00 -1.433E-01  9.972E-01  1.119E+00 -5.857E+00
  7  5.42969E-01  1.019E+00 -1.427E-01  9.950E-01  1.012E+00 -5.761E+00
  7  5.50781E-01  9.982E-01 -1.406E-01  9.943E-01  9.979E-01 -5.662E+00
  7  5.58594E-01  9.962E-01 -1.381E-01  9.944E-01  9.970E-01 -5.564E+00
  7  5.66406E-01  9.961E-01 -1.356E-01  9.945E-01  9.970E-01 -5.465E+00
  7  5.74219E-01  9.961E-01 -1.331E-01  9.946E-01  9.970E-01 -5.367E+00
  7  5.82031E-01  9.961E-01 -1.307E-01  9.946E-01  9.970E-01 -5.268E+00
  7  5.89844E-01  9.961E-01 -1.282E-01  9.946E-01  9.970E-01 -5.170E+00
  7  5.97656E-01  9.961E-01 -1.258E-01  9.946E-01  9.970E-01 -5.071E+00
  7  6.05469E-01  9.961E-01 -1.233E-01  9.946E-01  9.970E-01 -4.973E+00
  7  6.13281E-01  9.961E-01 -1.209E-01  9.946E-01  9.970E-01 -4.874E+00
  7  6.21094E-01  9.961E-01 -1.184E-01  9.946E-01  9.970E-01 -4.776E+00
  7  6.28906E-01  9.961E-01 -1.160E-01  9.946E-01  9.970E-01 -4.677E+00
  7  6.36719E-01  9.961E-01 -1.136E-01  9.946E-01  9.970E-01 -4.579E+00
  7  6.44531E-01  9.961E-01 -1.111E-01  9.946E-01  9.970E-01 -4.480E+00
  7  6.52344E-01  9.961E-01 -1.087E-01  9.946E-01  9.970E-01 -4.382E+00
  7  6.60156E-01  9.961E-01 -1.062E-01  9.946E-01  9.970E-01 -4.283E+00
  7  6.67969E-01  9.961E-01 -1.038E-01  9.946E-01  9.970E-01 -4.185E+00
  7  6.75781E-01  9.961E-01 -1.013E-01  9.946E-01  9.970E-01 -4.087E+00
  7  6.83594E-01  9.961E-01 -9.890E-02  9.946E-01  9.970E-01 -3.988E+00
  7  6.91406E-01  9.961E-01 -9.646E-02  9.946E-01  9.970E-01 -3.890E+00
  7  6.99219E-01  9.961E-01 -9.402E-02  9.946E-01  9.970E-01 -3.791E+00
  7  7.07031E-01  9.961E-01 -9.158E-02  9.946E-01  9.970E-01 -3.693E+00
  7  7.14844E-01  9.961E-01 -8.912E-02  9.945E-01  9.970E-01 -3.594E+00
  7  7.22656E-01  9.960E-01 -8.658E-02  9.944E-01  9.970E-01 -3.496E+00
  7  7.30469E-01  9.956E-01 -8.367E-02  9.939E-01  9.968E-01 -3.397E+00
  7  7.38281E-01  9.952E-01 -8.070E-02  9.932E-01  9.962E-01 -3.299E+00
  7  7.46094E-01  9.950E-01 -7.795E-02  9.929E-01  9.960E-01 -3.200E+00
  7  7.53906E-01  9.956E-01 -7.604E-02  9.938E-01  9.959E-01 -3.102E+00
  7  7.61719E-01  9.955E-01 -7.334E-02  9.937E-01  9.973E-01 -3.003E+00
  6  7.73438E-01  9.984E-01 -7.299E-02  9.977E-01  9.998E-01 -2.853E+00
  6  7.89062E-01  9.959E-01 -6.617E-02  9.943E-01  9.976E-01 -2.657E+00
  6  8.04688E-01  9.953E-01 -6.032E-02  9.934E-01  9.977E-01 -2.460E+00
  6  8.20312E-01  9.949E-01 -5.465E-02  9.928E-01  9.963E-01 -2.263E+00
  6  8.35938E-01  9.941E-01 -4.846E-02  9.917E-01  9.970E-01 -2.066E+00
  5  8.59375E-01  9.983E-01 -4.620E-02  9.976E-01  1.000E+00 -1.769E+00
  5  8.90625E-01  9.960E-01 -3.436E-02  9.943E-01  9.990E-01 -1.376E+00
  5  9.21875E-01  9.961E-01 -2.441E-02  9.946E-01  9.990E-01 -9.828E-01
  5  9.53125E-01  9.961E-01 -1.465E-02  9.946E-01  9.990E-01 -5.897E-01
  5  9.84375E-01  9.961E-01 -4.883E-03  9.946E-01  9.990E-01 -1.966E-01
